source,target
2,32
3,14
3,29
3,30
3,32
3,38
3,39
3,40
3,43
3,52
3,55
3,63
3,64
3,90
3,91
3,93
3,95
3,96
3,98
3,154
3,168
3,170
3,173
3,174
3,179
5,29
5,39
5,40
5,52
5,61
5,63
5,88
5,103
5,154
5,174
7,43
7,59
7,64
7,66
7,77
7,119
7,141
7,143
7,144
7,146
7,171
7,172
7,175
11,30
11,32
11,38
11,40
11,90
11,91
11,95
11,96
11,98
11,154
11,170
11,173
11,174
11,177
11,179
12,30
12,32
12,40
12,43
12,51
12,63
12,64
12,91
12,96
12,171
12,172
12,175
12,177
13,29
13,40
13,52
13,53
13,61
13,63
13,88
13,103
13,154
13,155
13,168
14,39
14,103
14,168
15,53
16,102
28,51
28,91
28,102
28,172
29,41
29,44
29,53
29,61
29,100
29,106
29,154
29,168
31,60
31,65
31,68
31,71
31,72
31,73
31,75
31,76
31,101
31,117
31,119
31,121
31,122
31,133
31,145
31,159
32,55
32,88
32,93
32,107
32,155
32,167
32,168
32,169
35,49
35,53
35,110
36,49
38,83
38,88
38,107
39,45
39,167
39,168
40,50
40,54
40,83
40,84
40,85
40,88
40,90
40,91
40,92
40,94
40,95
40,96
40,99
40,107
40,166
40,169
40,170
40,171
40,172
40,173
40,175
40,177
40,179
41,50
41,85
41,88
41,93
41,169
43,51
43,65
43,111
43,114
44,54
44,55
44,99
44,101
44,102
44,104
44,106
44,107
45,110
45,111
53,110
56,114
61,129
61,136
64,143
64,144
64,146
65,149
68,121
68,133
71,73
71,124
72,124
73,128
77,80
84,85
84,92
84,93
84,94
84,166
84,169
85,169
91,176
91,178
99,109
101,109
106,109
117,125
143,147
